Opcode Name
0x01 nop
0x1A drop
0x1B select
0x20 local.get
0x21 local.set
0x22 local.tee
0x28 i32.load
0x29 i64.load
0x2C i32.load8_s
0x2D i32.load8_u
0x2E i32.load16_s
0x2F i32.load16_u
0x30 i64.load8_s
0x31 i64.load8_u
0x32 i64.load16_s
0x33 i64.load16_u
0x34 i64.load32_s
0x35 i64.load32_u
0x36 i32.store
0x37 i64.store
0x3A i32.store8
0x3B i32.store16
0x3C i64.store8
0x3D 64.store16
0x3E i64.store32
0x3F memory.size
0x40 memory.grow
0x41 i32.const
0x42 i64.const
0x45 i32.eqz
0x46 i32.eq
0x47 i32.ne
0x48 i32.lt_s
0x49 i32.lt_u
0x4A i32.gt_s
0x4B i32.gt_u
0x4C i32.le_s
0x4D i32.le_u
0x4E i32.ge_s
0x4F i32.ge_u
0x50 i64.eqz
0x51 i64.eq
0x52 i64.ne
0x53 i64.lt_s
0x54 i64.lt_u
0x55 i64.gt_s
0x56 i64.gt_u
0x57 i64.le_s
0x58 i64.le_u
0x59 i64.ge_s
0x5A i64.ge_u
0x67 i32.clz
0x68 i32.ctz
0x69 i32.popcnt
0x6A i32.add
0x6B i32.sub
0x6C i32.mul
0x6D i32.div_s
0x6E i32.div_u
0x6F i32.rem_s
0x70 i32.rem_u
0x71 i32.and
0x72 i32.or
0x73 i32.xor
0x74 i32.shl
0x75 i32.shr_s
0x76 i32.shr_u
0x77 i32.rotl
0x78 i32.rotr
0x79 i64.clz
0x7A i64.ctz
0x7B i64.popcnt
0x7C i64.add
0x7D i64.sub
0x7E i64.mul
0x7F i64.div_s
0x80 i64.div_u
0x81 i64.rem_s
0x82 i64.rem_u
0x83 i64.and
0x84 i64.or
0x85 i64.xor
0x86 i64.shl
0x87 i64.shr_s
0x88 i64.shr_u
0x89 i64.rotl
0x8A i64.rotr
0xA7 i32.wrap_i64
0xAC i64.extend_i32_s
0xAD i64.extend_i32_u
0xC0 i32.extend8_s
0xC1 i32.extend16_s
0xC2 i64.extend8_s
0xC3 i64.extend16_s
0xC4 i64.extend32_s
